id,n,pure_ms,pdq_ms,pure_over_pdq,ok
inv_density_001,1000000,1.675,10.140,0.165,1
inv_density_005,1000000,2.764,15.081,0.183,1
inv_density_01,1000000,4.435,17.379,0.255,1
inv_density_05,1000000,72.020,38.900,1.851,1
inv_density_15,1000000,24.430,32.785,0.745,1
runs_equal_64,1000000,1.107,1.478,0.749,1
runs_variable_32,1000000,2.859,12.450,0.230,1
reverse_segments_8,1000000,21.758,8.482,2.565,1
island_cluster_12,1000000,1.907,5.843,0.326,1
island_periodic,1000000,6.019,13.540,0.445,1
push_middle_large_1k,1000000,5.524,16.620,0.332,1
sawtooth_noisy,1000000,1.573,9.533,0.165,1
organpipe_noisy,1000000,37.244,92.537,0.403,1
